rank,frame_path,grain_score,manual_keep,notes
208,data\selected_frames\nosferatu_non_title_cards\nosferatu_000095.png,0.0045607746578752995,,
209,data\selected_frames\nosferatu_non_title_cards\nosferatu_000390.png,0.0045555769465863705,,
210,data\selected_frames\nosferatu_non_title_cards\nosferatu_000075.png,0.004555253311991692,,
211,data\selected_frames\nosferatu_non_title_cards\nosferatu_000573.png,0.004549382720142603,,
212,data\selected_frames\nosferatu_non_title_cards\nosferatu_000417.png,0.004542813636362553,,
213,data\selected_frames\nosferatu_non_title_cards\nosferatu_000134.png,0.0045146881602704525,,
214,data\selected_frames\nosferatu_non_title_cards\nosferatu_000399.png,0.0045079453848302364,,
215,data\selected_frames\nosferatu_non_title_cards\nosferatu_000091.png,0.004482722375541925,,
216,data\selected_frames\nosferatu_non_title_cards\nosferatu_000320.png,0.004478749353438616,,
217,data\selected_frames\nosferatu_non_title_cards\nosferatu_000478.png,0.004472979810088873,,
218,data\selected_frames\nosferatu_non_title_cards\nosferatu_000098.png,0.004462703596800566,,
219,data\selected_frames\nosferatu_non_title_cards\nosferatu_000199.png,0.0044494387693703175,,
220,data\selected_frames\nosferatu_non_title_cards\nosferatu_000594.png,0.004397705662995577,,
221,data\selected_frames\nosferatu_non_title_cards\nosferatu_000174.png,0.004383450374007225,,
222,data\selected_frames\nosferatu_non_title_cards\nosferatu_000002.png,0.004370436538010836,,
223,data\selected_frames\nosferatu_non_title_cards\nosferatu_000462.png,0.004367742221802473,,
224,data\selected_frames\nosferatu_non_title_cards\nosferatu_000520.png,0.004367057699710131,,
225,data\selected_frames\nosferatu_non_title_cards\nosferatu_000348.png,0.004365725442767143,,
226,data\selected_frames\nosferatu_non_title_cards\nosferatu_000171.png,0.0043518091551959515,,
227,data\selected_frames\nosferatu_non_title_cards\nosferatu_000090.png,0.0043475329875946045,,
228,data\selected_frames\nosferatu_non_title_cards\nosferatu_000181.png,0.0043436819687485695,,
229,data\selected_frames\nosferatu_non_title_cards\nosferatu_000339.png,0.004340908024460077,,
230,data\selected_frames\nosferatu_non_title_cards\nosferatu_000073.png,0.0043380227871239185,,
231,data\selected_frames\nosferatu_non_title_cards\nosferatu_000004.png,0.004301179200410843,,
232,data\selected_frames\nosferatu_non_title_cards\nosferatu_000175.png,0.004299586173146963,,
233,data\selected_frames\nosferatu_non_title_cards\nosferatu_000527.png,0.004291485529392958,,
234,data\selected_frames\nosferatu_non_title_cards\nosferatu_000167.png,0.004257282242178917,,
235,data\selected_frames\nosferatu_non_title_cards\nosferatu_000001.png,0.0042377351783216,,
236,data\selected_frames\nosferatu_non_title_cards\nosferatu_000188.png,0.004231142345815897,,
237,data\selected_frames\nosferatu_non_title_cards\nosferatu_000394.png,0.004221984650939703,,
238,data\selected_frames\nosferatu_non_title_cards\nosferatu_000387.png,0.004208747297525406,,
239,data\selected_frames\nosferatu_non_title_cards\nosferatu_000191.png,0.004207281861454248,,
240,data\selected_frames\nosferatu_non_title_cards\nosferatu_000571.png,0.004199684597551823,,
241,data\selected_frames\nosferatu_non_title_cards\nosferatu_000499.png,0.004199545364826918,,
